,lat,lng,store_name
0,22.3407,114.20169,"""荷李活廣場"""
1,22.28394,114.15819,"""交易廣場"""
2,22.32287,114.21344,"""德福廣場"""
3,22.28445,114.15846,"""機鐵香港站"""
4,22.277657,114.164619,"""太古廣場"""
5,22.27852,114.16087,"""花園道三號"""
6,22.28113,114.15946,"""港鐵 – 中環站"""
7,22.286409,114.151877,"""254 德輔道中"""
8,22.280551,114.176802,"""新鴻基"""
9,25.229669,55.319303,"""Wafi Mall"""
10,25.266826,55.317043,"""Al Gurrair Mall"""
11,25.168955,55.227421,"""Umm Sequeim"""
12,24.99156,55.09348,"""Jebel Ali"""
13,25.21769,55.283103,"""Emirates Tower"""
14,25.084243,55.15009,"""Dubai Marina"""
15,24.475984,54.321883,"""Marina Mall"""
16,24.495868,54.383227,"""Abu Dhabi Mall"""
17,24.490072,54.363083,"""Hamdan Street"""
18,25.216583,55.25253,"""Mercato Town Centre"""
19,25.251483,55.332766,"""Deira City Center Mall"""
20,25.321535,55.375703,"""Qanat Al Qasba"""
21,25.29743,55.371903,"""Sahara Center"""
22,25.345018,55.39871,"""Mega Mall"""
23,25.295949,55.499244,"""Zero 6"""
24,25.224555,55.424622,"""Uptown Mirdif"""
25,24.47024,54.37276,"""Al Wahda Mall"""
26,25.21554,55.2789,"""Al Ghadeer Tower"""
27,25.132344,55.118461,"""Atlantis"""
28,24.408591,54.491289,"""Shangri-La Souq"""
29,25.321535,55.375703,"""Qanat Al Qasba"""
30,24.479704,54.353567,"""Camellia Flowers"""
31,25.681656,55.780582,"""Al Hamra Mall"""
32,24.160592,55.807567,"""Bawadi Mall"""
33,24.489096,54.37411,"""Twin Towers 13th Street"""
34,25.25374,55.303499,"""Burjuman Centre II"""
35,25.194108,55.276799,"""Old Town Commercial Island"""
36,25.133537,55.185668,"""Madina Jumeirah"""
37,24.188009,55.68792,"""Khaldiya Street"""
38,24.243583,55.726779,"""Jimmy Mall"""
39,24.477553,54.376484,"""HCT Abu Dhabi Women's College Block"""
40,25.04063,55.12131,"""Gardens 3 IBN Batuta Mall Tunisia"""
41,25.04449,55.120295,"""Gardens 2"""
42,25.0445,55.120305,"""Gardens 1 IBN Batuta Mall - Persia"""
43,25.102801,55.162898,"""Knowledge Village"""
44,25.23109,55.32647,"""Health Care City Dubai"""
45,25.05399,55.171172,"""Emaar Town Center"""
46,25.077092,55.135592,"""Jumeirah Beach Residence 3 P24a"""
47,25.25258,55.35408,"""DBX - Dubai Airport Terminal 3 C207"""
48,25.233864,55.43588,"""Arabian Centre"""
49,25.169505,55.241709,"""Oasis Centre"""
50,25.748301,55.925063,"""Safeer Mall - Al Naeem CC"""
51,25.08074,55.13897,"""Jumeirah Beach Residence 4 GM09"""
52,25.07181,55.12975,"""Jumeirah Beach Residence 6 GM10"""
53,24.195469,55.647858,"""Tawam Hospital"""
54,24.477139,54.372518,"""Blue Tower A"""
55,25.074454,55.402717,"""Dubai Outlet Mall"""
56,24.470337,54.351749,"""Khalidiya Mall"""
57,25.0955,55.167252,"""Emaar Business Park"""
58,25.200837,55.27365,"""Burj Dubai Business Park"""
59,25.210916,55.276096,"""21st Century Tower"""
60,25.21554,55.2789,"""Al Ghadeer Tower"""
61,25.19097,55.278268,"""Old Town Amenity Building"""
62,25.07649,55.135384,"""Jumeirah Beach Residence 2"""
63,25.23424,55.311429,"""Movenpick"""
64,25.194946,55.279258,"""Dubai Mall LG 118"""
65,25.07649,55.135384,"""Jumeirah Beach Residence 2"""
66,25.07641,55.140511,"""Dubai Marina Mall"""
67,24.350423,54.569979,"""Abu Dhabi University - Women's"""
68,24.365661,54.564211,"""Abu Dhabi University - Men's"""
69,25.251866,55.332833,"""Deira City Center 4"""
70,-34.547348,-58.485948,"""Pa"
71,-34.603912,-58.410938,"""Abasto Shopping Center"""
72,-34.547348,-58.485858,"""DOT Planta Baja"""
73,-34.60798,-58.374965,"""Florida 1"""
74,-34.5882,-58.409886,"""Alto Palermo"""
75,-34.589835,-58.425611,"""Malabia"""
76,-34.572935,-58.459374,"""Elcano"""
77,-34.600774,-58.392584,"""Viamonte"""
78,-34.570443,-58.443969,"""Olleros"""
79,-34.541439,-58.463045,"""Defensores"""
80,48.200706,16.358635,"""Mariahilfer Strasse"""
81,48.198655,16.350052,"""Neubaugasse"""
82,48.240344,16.386985,"""Millennium City"""
83,48.200786,16.368764,"""Karlsplatzpassage"""
84,48.211299,16.376093,"""Rotenturmstrasse"""
85,48.207627,16.367094,"""Michaelerplatz"""
86,48.220408,16.347473,"""AKH Allgemeines Krankenhaus"""
87,48.205817,16.385848,"""Invalidenstrasse"""
88,50.89737,4.4851,"""Brussels Airport Depart. Hall"""
89,42.530403,27.457174,"""Burgas Plaza Mall"""
90,42.68993,23.331432,"""Sofia Gurko"""
91,42.68613,23.321456,"""Nansen and Levski"""
92,26.24169,50.58798,"""حديقة مركز الدبلوماسي"""
93,26.2696,50.62608,"""مطار البحرين بوابة 16"""
94,26.23253,50.53644,"""مجمع السيف"""
95,26.2064,50.57619,"""باديز"""
96,26.22982,50.53717,"""مجمع البحرين"""
97,26.21165,50.60773,"""ستراند بلازا"""
98,26.14469,50.57902,"""سند (يم يم)"""
99,26.23492,50.55467,"""البحرين"
100,26.23492,50.55458,"""بحرين"
101,26.23658,50.57716,"""مركز المنامة"""
102,25.07408,-77.31635,"""Harbour Bay"""
103,25.06786,-77.32793,"""Palmdale RCA Building"""
104,25.08595,-77.32776,"""Reef Atlantis"""
105,25.08253,-77.31924,"""Marina Village at Atlantis"""
106,49.276774,-123.12523,"""Brava - Davie &amp; Seymour"""
107,49.841375,-119.487573,"""Mission Creek Plaza-Kelowna"""
108,53.540159,-113.578866,"""Safeway #8905 Jasper Gates"
109,49.23206,-123.032935,"""Safeway #4931 Kingsway"
110,49.500151,-117.283269,"""Safeway #4948 Nelson"""
111,49.261923,-123.068225,"""Safeway #4966EastBroadway"
112,49.244772,-123.153891,"""Arbutus &amp; Valley"""
113,49.86686,-99.960905,"""Safeway - Brandon # 604"""
114,49.235239,-123.115714,"""Cambie St &amp; 39th Ave"""
115,49.828233,-119.628634,"""Dobbin Rd - Westbank TC"""
116,56.730356,-111.426777,"""Save-on-Foods - Fort McMurray"""
117,49.692732,-112.891789,"""West Lethbridge Towne Centre"""
118,42.957764,-81.23289,"""631 Commissioners Rd E"""
119,53.504135,-113.614748,"""Wolf Willow"""
120,53.559551,-113.553617,"""Safeway #8891 Westmount"
121,51.048739,-114.080881,"""Atrium 1 - 5th Ave &amp; 8th St"""
122,53.53903,-113.504387,"""Matrix Hotel"""
123,50.913241,-113.950365,"""52St &amp; McIvor Blvd SE"""
124,48.44235,-123.510958,"""Hull's Corner-Jacklin &amp; Langford"""
125,49.473985,-123.747567,"""Tsain-Ko Village Sechelt"""
126,52.288058,-113.814445,"""Red Deer Village"""
127,50.984507,-114.014588,"""Safeway #8826 Ogden"
128,51.073947,-113.984528,"""Sunridge Mall - Level 1"""
